Bin_Centers, Frequency
-3.397659290637664142e+00,4.013543049751031912e-03
-3.154342478560470120e+00,4.013543049751031912e-03
-2.911025666483276098e+00,4.013543049751031912e-03
-2.667708854406082075e+00,8.027086099502063823e-03
-2.424392042328888053e+00,1.204062914925311742e-02
-2.181075230251694475e+00,5.618960269651444850e-02
-1.937758418174500452e+00,1.163927484427798170e-01
-1.694441606097306208e+00,8.829794709452269685e-02
-1.451124794020112407e+00,1.525146358905393462e-01
-1.207807981942918385e+00,1.806094372387964386e-01
-9.644911698657243626e-01,2.448261260348129353e-01
-7.211743577885303402e-01,1.966636094378005628e-01
-4.778575457113363179e-01,3.411511592288377082e-01
-2.345407336341422955e-01,2.769344704328212114e-01
8.776078443051726907e-03,3.652324175273439222e-01
2.520928905202457493e-01,5.217605964676341745e-01
4.954097025974395496e-01,4.093813910746059714e-01
7.387265146746333500e-01,3.491782453283397980e-01
9.820433267518273723e-01,2.889750995820742907e-01
1.225360138829021395e+00,1.846229802885474558e-01
1.468676950906215417e+00,1.605417219900412695e-01
1.711993762983409439e+00,5.217605964676341745e-02
1.955310575060603462e+00,4.013543049751031738e-02
2.198627387137797484e+00,2.408125829850618974e-02
2.441944199214991507e+00,1.204062914925309487e-02
2.685261011292185529e+00,4.013543049751031912e-03
2.928577823369379551e+00,0.000000000000000000e+00
3.171894635446573574e+00,4.013543049751031912e-03
3.415211447523767596e+00,4.013543049751031912e-03
3.658528259600961619e+00,4.013543049751031912e-03
